transaction_id,date,libelle_brut,montant,merchant,payment_channel,transaction_type,recurring,income_flag,normalized_description
TXN000000,2025-08-05,SERVICES CO SAL JUN,996.86,Unknown,Unknown,Credit,False,False,Unknown
TXN000001,2025-08-05,CON EDISON 75755,-91.47,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000002,2025-08-06,SQ *COFFEE MILLERMOUTH,-8.56,Starbucks,Card POS,Purchase,False,False,Starbucks Coffee
TXN000003,2025-08-06,CASH WITHDRAWAL BANK OF AMERICA 33120,-80.0,ATM,ATM,Withdrawal,False,False,ATM Withdrawal
TXN000004,2025-08-07,SUBWAY NEW IN,-346.46,Unknown,Unknown,Unknown,False,False,Unknown
TXN000005,2025-08-10,ATM WITHDRAWAL CITIBANK NEW GU,-20.0,ATM,ATM,Withdrawal,False,False,ATM Withdrawal
TXN000006,2025-08-10,CASH WITHDRAWAL US BANK 44407,-40.0,ATM,ATM,Withdrawal,False,False,ATM Withdrawal
TXN000007,2025-08-11,SOLUTIONS LLC SAL SEP,1143.07,Unknown,Unknown,Credit,False,False,Unknown
TXN000008,2025-08-11,MCDS SOUTH,-276.8,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000009,2025-08-12,SUBWAY PORT AS,-307.11,Unknown,Unknown,Unknown,False,False,Unknown
TXN000010,2025-08-13,PAYPAL TRANSFER AAFDB33E RECEIVED,920.8,PayPal,Transfer,Transfer,False,False,PayPal P2P
TXN000011,2025-08-13,PAYPAL TRANSFER 4B646F3D RECEIVED,1148.91,PayPal,Transfer,Transfer,False,False,PayPal P2P
TXN000012,2025-08-14,STEAM GAMES 3QE0CR,-140.96,Steam,Card Online,Purchase,False,False,Steam Gaming
TXN000013,2025-08-14,XBOX GAME PASS 41812,-20.78,Xbox,Card Online,Subscription,True,False,Xbox Gaming
TXN000014,2025-08-15,GRUBHUB DONALDSTAD,-92.29,Grubhub,Card Online,Purchase,False,False,Grubhub Delivery
TXN000015,2025-08-16,BEST BUY SOUTH MT,-250.58,Best Buy,Card POS,Purchase,False,False,Best Buy Electronics
TXN000016,2025-08-17,CASH WITHDRAWAL WELLS FARGO 81534,-120.0,ATM,ATM,Withdrawal,False,False,ATM Withdrawal
TXN000017,2025-08-17,EBAY INC HSR5LP USA,-458.16,eBay,Card Online,Purchase,False,False,eBay E-commerce
TXN000018,2025-08-19,CHEVRON LAKE WY,-33.05,Unknown,Unknown,Unknown,False,False,Unknown
TXN000019,2025-08-19,CASH WITHDRAWAL US BANK 77802,-200.0,ATM,ATM,Withdrawal,False,False,ATM Withdrawal
TXN000020,2025-08-21,ETSY INC IIDUAK 93587,-293.43,Etsy,Card Online,Purchase,True,False,Etsy E-commerce
TXN000021,2025-08-22,IKEA PATRICIABERG NM,-135.0,Uber,Card Online,Purchase,False,False,Uber Rideshare
TXN000022,2025-08-24,UBER LUCASMOUTH NC,-436.54,Uber,Card Online,Purchase,True,False,Uber Rideshare
TXN000023,2025-08-26,DELTA AIR O8GOKA,-61.31,Delta Airlines,Card Online,Purchase,False,False,Delta Airlines Flight
TXN000024,2025-08-26,ACH DEPOSIT SERVICES CO SALARY,1042.39,Employer,Transfer,Income,True,True,Employer Salary
TXN000025,2025-08-27,SOLUTIONS LLC SAL MAY,959.64,Unknown,Unknown,Credit,False,False,Unknown
TXN000026,2025-08-27,STRBCKS WEST,-438.0,Starbucks,Card POS,Purchase,False,False,Starbucks Coffee
TXN000027,2025-08-27,UBER SCHROEDERPORT RI,-64.06,Uber,Card Online,Purchase,False,False,Uber Rideshare
TXN000028,2025-08-27,CON EDISON 70912,-24.46,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000029,2025-08-27,AT&T PAYMENT 91932,-33.91,AT&T,Transfer,Direct Debit,True,False,AT&T Phone
TXN000030,2025-08-28,IKEA WILLIEMOUTH GU,-489.91,Unknown,Unknown,Unknown,False,False,Unknown
TXN000031,2025-08-29,APPLE STORE NEW PA,-310.81,Apple Store,Card POS,Purchase,False,False,Apple Store Electronics
TXN000032,2025-08-30,HLU *STREAM 92861,-87.79,Hulu,Card Online,Subscription,True,False,Hulu Streaming
TXN000033,2025-08-30,DOORDASH EAST,-37.0,DoorDash,Card Online,Purchase,False,False,DoorDash Delivery
TXN000034,2025-08-31,UBER DARLENEHAVEN SD,-290.61,Uber,Card Online,Purchase,False,False,Uber Rideshare
TXN000035,2025-09-02,UE *FOOD PORT,-277.87,McDonald's,Card POS,Purchase,True,False,McDonald's Fast Food
TXN000036,2025-09-03,STEAM GAMES 9MPC05,-304.13,Steam,Card Online,Purchase,False,False,Steam Gaming
TXN000037,2025-09-04,SQ *COFFEE HORTONFURT,-213.99,Starbucks,Card POS,Purchase,False,False,Starbucks Coffee
TXN000038,2025-09-06,COMCAST EAST IL,-47.81,Comcast,Transfer,Direct Debit,True,False,Comcast Internet
TXN000039,2025-09-07,CON EDISON 64914,-24.05,Con Edison,Transfer,Direct Debit,True,False,Con Edison Electricity
TXN000040,2025-09-07,CHEVRON PORT IA,-317.69,Unknown,Unknown,Unknown,False,False,Unknown
TXN000041,2025-09-07,UBER HUNTERMOUTH WY,-449.07,Uber,Card Online,Purchase,True,False,Uber Rideshare
TXN000042,2025-09-08,UBER EAST IL,-86.28,Uber,Card Online,Purchase,False,False,Uber Rideshare
TXN000043,2025-09-09,HOME DEPOT NORTH MA,-424.15,State Farm,Transfer,Direct Debit,True,False,State Farm Home
